Area,Item,Element,Unit,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
Austria,Maize,Production,tonnes,1944882.0,2020955.0,1471668.0,1696493.0,2147244.0,1890503.0,2168837.0,2453133.0,2351370.0,1639000.0,2334385.0
Austria,"Maize, green",Production,tonnes,4307.0,5296.0,8037.0,11040.0,14615.0,13948.0,9662.0,12270.0,13060.0,11850.0,12471.0
Austria,Millet,Production,tonnes,8441.0,8733.0,7470.0,8150.0,8620.0,20000.0,7000.0,7940.0,7500.0,9195.0,9717.0
Austria,Mushrooms and truffles,Production,tonnes,900.0,900.0,900.0,900.0,900.0,1100.0,1300.0,1600.0,1400.0,1400.0,1200.0
Austria,Oats,Production,tonnes,138831.0,128432.0,131176.0,98948.0,108054.0,109411.0,97900.0,109807.0,93500.0,86900.0,105900.0
Austria,Oilseeds nes,Production,tonnes,6927.0,10153.0,13758.0,12587.0,9331.0,11185.0,17875.0,18544.0,15045.0,12010.0,13838.0
Austria,"Onions, dry",Production,tonnes,117678.0,102990.0,99735.0,97620.0,122608.0,139428.0,154105.0,200497.0,135382.0,143962.0,206021.0
Austria,Peaches and nectarines,Production,tonnes,8572.0,8229.0,9160.0,8005.0,8389.0,8837.0,8466.0,10023.0,7986.0,8571.0,8838.0
Austria,Pears,Production,tonnes,124366.0,118340.0,117243.0,175526.0,84735.0,168663.0,120702.0,89344.0,71491.0,66911.0,50702.0
Austria,"Peas, dry",Production,tonnes,122128.0,90256.0,89943.0,56676.0,45365.0,34749.0,32800.0,36392.0,14600.0,17603.0,17436.0
Austria,"Peas, green",Production,tonnes,3864.0,4806.0,7559.0,9079.0,11251.0,12029.0,9467.0,12503.0,4486.0,11256.0,11260.0
Austria,Plums and sloes,Production,tonnes,69579.0,61572.0,80285.0,68359.0,63429.0,71732.0,78268.0,103245.0,71915.0,89155.0,71570.0
Austria,Poppy seed,Production,tonnes,1395.0,2445.0,2663.0,1964.0,1567.0,1504.0,1740.0,1614.0,1098.0,1078.0,1293.0
Austria,Potatoes,Production,tonnes,693054.0,763165.0,654621.0,668755.0,756945.0,722098.0,671722.0,816070.0,665416.0,604100.0,750600.0
Austria,"Pulses, nes",Production,tonnes,2799.0,3809.0,4625.0,3541.0,2838.0,3605.0,10955.0,8451.0,8029.0,7102.0,7643.0
Austria,"Pumpkins, squash and gourds",Production,tonnes,15160.0,10802.0,9889.0,15641.0,15340.0,16017.0,15419.0,19671.0,17923.0,16875.0,18850.0
Austria,Rapeseed,Production,tonnes,120815.0,104303.0,137303.0,144706.0,174592.0,171073.0,170584.0,179669.0,148869.0,196828.0,198300.0
Austria,Raspberries,Production,tonnes,1100.0,1200.0,910.0,1321.0,1139.0,1112.0,1168.0,1209.0,821.0,896.0,948.0
Austria,Rye,Production,tonnes,213478.0,163653.0,93786.0,188608.0,218511.0,183642.0,163600.0,202100.0,204697.0,234689.0,232530.0
Austria,Soybeans,Production,tonnes,44824.0,60573.0,64960.0,50926.0,54095.0,71333.0,94544.0,109378.0,104143.0,82780.0,118100.0
Austria,Spinach,Production,tonnes,8830.0,9903.0,10871.0,12148.0,12757.0,10109.0,9018.0,14855.0,14228.0,12990.0,11846.0
Austria,Strawberries,Production,tonnes,17602.0,16291.0,14488.0,14612.0,19363.0,17108.0,16426.0,14239.0,9918.0,14946.0,14470.0
Austria,Sugar beet,Production,tonnes,2901902.0,3083792.0,2493097.0,2656214.0,3091432.0,3083135.0,3131666.0,3456227.0,3114426.0,3465800.0,4244219.0
Austria,Sunflower seed,Production,tonnes,77925.0,80782.0,84620.0,59527.0,79658.0,71012.0,66500.0,73708.0,53052.0,51287.0,57700.0
Austria,"Tobacco, unmanufactured",Production,tonnes,234.0,247.0,304.0,400.0,0.0,113.0,0.0,131.0,158.0,152.0,144.0
Austria,Tomatoes,Production,tonnes,35839.0,35321.0,39105.0,44922.0,42109.0,41513.0,44241.0,50389.0,52032.0,53327.0,57250.0
Austria,Triticale,Production,tonnes,235685.0,198468.0,110060.0,209021.0,250677.0,254451.0,230500.0,228073.0,220103.0,224141.0,302598.0
Austria,"Vegetables, fresh nes",Production,tonnes,82100.0,55100.0,52999.0,51931.0,53838.0,45974.0,44303.0,49620.0,44756.0,41196.0,43899.0
Austria,"Vegetables, leguminous nes",Production,tonnes,244.0,191.0,179.0,143.0,167.0,338.0,655.0,631.0,269.0,60.0,317.0
