,Year,Type,Area,Gender,Species
244,2016,Unprovoked,Florida,Female,Unidentified Species
245,2016,Unprovoked,Florida,Female,Unidentified Species
246,2016,Unprovoked,California,Male,"White shark, 10' to 12'"
247,2016,Unprovoked,South Carolina,Male,Unidentified Species
248,2016,Unprovoked,Non-Registered Area,Male,"Lemon shark, 9'"
249,2016,Unprovoked,Canary Islands,Female,Angel shark
250,2016,Boating,California,Male,White shark
251,2016,Provoked,Massachusetts,Male,dogfish shark
252,2016,Boating,California,Male,White shark
253,2016,Unprovoked,Florida,Female,Unidentified Species
254,2016,Provoked,Queensland,Male,Tawny nurse shark
255,2016,Unprovoked,South Carolina,Male,3' to 4' shark
256,2016,Unprovoked,North Carolina,Male,Unidentified Species
257,2016,Unprovoked,Isla Provedencia,Male,"Caribbean reef shark, 4.5'"
258,2016,Unprovoked,Western Cape Province,Male,White shark
259,2016,Unprovoked,South Carolina,Male,3' to 5' shark
260,2016,Unprovoked,Florida,Male,Unidentified Species
261,2016,Unprovoked,Hawaii,Male,3' to 4' shark
262,2016,Provoked,Western Australia,Male,5' shark
263,2016,Unprovoked,Texas,Female,3' to 4' shark
264,2016,Unprovoked,North Carolina,Male,3' shark
265,2016,Arbitrary incident,South Carolina,Male,Said to involve an 8' shark but more likely damage caused by debris
266,2016,Unprovoked,Florida,Male,Unidentified Species
267,2016,Unprovoked,Western Australia,Female,3+ m shark
268,2016,Unprovoked,Suez,Male,Mako shark
269,2016,Unprovoked,New South Wales,Male,Bronze whaler sharks x 3
270,2016,Unprovoked,Non-Registered Area,Male,3 m shark
271,2016,Unprovoked,Western Australia,Male,White shark
272,2016,Unprovoked,California,Female,Unidentified Species
273,2016,Unprovoked,Florida,Male,5' shark
274,2016,Unprovoked,Florida,Female,Unidentified Species
275,2016,Unprovoked,Florida,Female,"Bull shark, 4' to 5'"
276,2016,Unprovoked,Florida,Female,Unidentified Species
277,2016,Unprovoked,Florida,Male,"Blacktip shark, 4'"
278,2016,Provoked,Florida,Female,"Nurse shark, 2'"
279,2016,Unprovoked,Hawaii,Male,Unidentified Species
280,2016,Provoked,North Island,Male,"Mako shark, 1.5 m [5'] "
281,2016,Unprovoked,Bali,Male,"Bull shark, 6'"
282,2016,Unprovoked,Florida,Male,Unidentified Species
283,2016,Unprovoked,Western Cape Province,Male,White shark
284,2016,Unprovoked,New South Wales,Male,Wobbegong shark
285,2016,Provoked,Tuamotos,Male,"Grey reef shark, 2 m"
286,2016,Provoked,Tuamotos,Male,"Grey reef shark, 2 m"
287,2016,Unprovoked,Florida,Male,"Bull shark, 7'"
288,2016,Unprovoked,Grand Terre,Female,"Tiger shark, 2.5 m"
289,2016,Arbitrary incident,Boa Vista Island,Male,Shark involvement not confirmed
290,2016,Unprovoked,Florida,Male,5' to 6' shark
291,2016,Arbitrary incident,Florida,Male,Unidentified Species
292,2016,Unprovoked,Hawaii,Female,Unidentified Species
293,2016,Unprovoked,New South Wales,Male,Unidentified Species
294,2016,Unprovoked,Florida,Male,Shark involvement not confirmed
295,2016,Unprovoked,New South Wales,Male,Unidentified Species
296,2016,Provoked,Non-Registered Area,Male,"Nurse shark, 2.5-ft"
297,2016,Arbitrary incident,California,Unrecorded Gender,Shark involvement not confirmed
298,2016,Unprovoked,Florida,Male,Unidentified Species
299,2016,Unprovoked,Vanua Levu,Male,Unidentified Species
300,2016,Unprovoked,Florida,Male,Unidentified Species
301,2016,Unprovoked,South Australia,Male,Bronze whaler
302,2016,Unprovoked,Santa Catarina State,Male,Sandtiger shark
303,2016,Unprovoked,South Province,Male,Unidentified Species
304,2016,Unprovoked,South Province,Male,Unidentified Species
305,2016,Unprovoked,Altagracia Province,Female,Unidentified Species
306,2016,Arbitrary incident,Grand Cayman,Male,No shark involvement
307,2016,Arbitrary incident,Tasmania,Male,No shark involvement
308,2016,Unprovoked,Queensland,Female,Unidentified Species
309,2016,Unprovoked,New South Wales,Male,Unidentified Species
310,2016,Unprovoked,Balne�rio Cambori�,Male,Sandtiger shark
311,2016,Boating,KwaZulu-Natal,Male,Unidentified Species
312,2016,Unprovoked,Hawaii,Male,"Reef shark, 5'"
313,2016,Unprovoked,Hawaii,Female,Unidentified Species
314,2016,Unprovoked,Texas,Male,Bull sharks x 2
315,2016,Boating,Fujairah Emirate,Male,Mako shark
316,2016,Unprovoked,Hawaii,Male,"Tiger shark, 14'"
317,2016,Unprovoked,Queensland,Male,Wobbegong shark
318,2016,Unprovoked,Queensland,Male,Blacktip shark
319,2016,Unprovoked,Queensland,Male,3 m shark
320,2015,Boating,KwaZulu-Natal,Male,"White shark, 3 m"
321,2015,Unprovoked,Grand Canary Island,Female,"Silky shark, 6.5'"
322,2015,Unprovoked,Hawaii,Male,9' shark
323,2015,Unprovoked,New South Wales,Male,"Bronze whaler shark, 6'"
324,2015,Unprovoked,Pernambuco,Male,"Tiger shark, 1.5 m "
325,2015,Unprovoked,Non-Registered Area,Male,Unidentified Species
326,2015,Boating,New South Wales,Unrecorded Gender,"White shark, 3.5 m"
327,2015,Unprovoked,Non-Registered Area,Male,Bull shark
328,2015,Unprovoked,Eastern Cape Province,Female,Unidentified Species
329,2015,Unprovoked,Galapagos Islands,Male,Galapagos shark
330,2015,Unprovoked,Florida,Male,Unidentified Species
331,2015,Unprovoked,Florida,Female,Unidentified Species
332,2015,Unprovoked,Florida,Male,"Spinner shark, 7'"
333,2015,Unprovoked,New South Wales,Male,"Bull shark, 2.8 to 3.1 m"
334,2015,Arbitrary incident,Florida,Female,Shark involvement not confirmed
335,2015,Unprovoked,Hawaii,Male,Unidentified Species
336,2015,Unprovoked,Florida,Female,3' to 5' shark
337,2015,Unprovoked,Inhambane Province,Male,Unidentified Species
338,2015,Unprovoked,Western Australia,Male,Unidentified Species
339,2015,Unprovoked,Hawaii,Male,Unidentified Species
340,2015,Unprovoked,Western Cape Province,Male,"White shark, 3 to 3.5m "
341,2015,Unprovoked,Florida,Male,5' shark
342,2015,Unprovoked,Florida,Male,"Spinner shark, 5'"
343,2015,Unprovoked,Inhambane Province,Female,Unidentified Species
344,2015,Arbitrary incident,Hawaii,Male,No shark involvement
345,2015,Unprovoked,Hawaii,Male,"Tiger shark, 7'"
346,2015,Boating,California,Male,Hammerhead sp.
347,2015,Unprovoked,South Carolina,Female,Unidentified Species
348,2015,Unprovoked,Hawaii,Male,"Tiger shark, 13' "
349,2015,Unprovoked,Inhambane Province,Male,Unidentified Species
350,2015,Unprovoked,Western Australia,Male,Unidentified Species
351,2015,Unprovoked,Florida,Male,Unidentified Species
352,2015,Unprovoked,Texas,Male,4' to 5' shark
353,2015,Unprovoked,Florida,Male,"Blacktip shark, 4' to 5'"
354,2015,Unprovoked,Florida,Male,"Blacktip shark, 5' to 6'"
355,2015,Unprovoked,Queensland,Female,Unidentified Species
356,2015,Boating,California,Male,"White shark, 19'"
357,2015,Unprovoked,Florida,Male,juvenile shark
358,2015,Unprovoked,Hawaii,Male,"Tiger shark, 13'"
359,2015,Unprovoked,Florida,Male,4' shark
360,2015,Unprovoked,Florida,Male,Unidentified Species
361,2015,Boating,California,Male,Hammerhead shark
362,2015,Unprovoked,Florida,Male,Unidentified Species
363,2015,Unprovoked,Florida,Male,Unidentified Species
364,2015,Unprovoked,New South Wales,Male,6' shark
365,2015,Unprovoked,California,Female,"White shark, 11' to 12'"
366,2015,Provoked,California,Male,Hammerhead shark.
367,2015,Unprovoked,New South Wales,Male,"White shark, 2.5 m"
368,2015,Unprovoked,South Carolina,Male,4' shark?
369,2015,Unprovoked,Phuket,Female,small shark
370,2015,Unprovoked,Non-Registered Area,Male,Tiger shark
371,2015,Unprovoked,California,Female,"White shark, 11' to 12'"
372,2015,Unprovoked,California,Male,"White shark, 10' to 12' "
373,2015,Arbitrary incident,Florida,Male,Shark involvement not confirmed
374,2015,Unprovoked,New South Wales,Male,Unidentified Species
375,2015,Unprovoked,South Carolina,Male,4' shark
376,2015,Unprovoked,Florida,Female,3' shark
377,2015,Boating,California,Male,"White shark, 13'"
378,2015,Arbitrary incident,Alicante,Male,Shark involvement not confirmed
379,2015,Provoked,California,Male,Hammerhead shark. 6' to 7'
380,2015,Unprovoked,New South Wales,Male,White shark
381,2015,Unprovoked,Guanacaste,Male,Unidentified Species
382,2015,Arbitrary incident,Victoria,Male,Unidentified Species
383,2015,Unprovoked,Florida,Male,"Blacktip or spinner shark, 4'"
384,2015,Arbitrary incident,South Carolina,Female,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed"
385,2015,Unprovoked,Tasmania,Male,"White shark, 3.9 to 4.2 m"
386,2015,Provoked,California,Male,"Mako shark, 100-lb"
387,2015,Unprovoked,Victoria,Male,"Bronze whaler shark, 1.5m"
388,2015,Unprovoked,Non-Registered Area,Male,"Bull shark, 2m"
389,2015,Unprovoked,Eastern Cape Province,Male,White shark
390,2015,Unprovoked,California,Male,"White shark, 7'"
391,2015,Arbitrary incident,California,Male,Shark involvement not cofirmed
392,2015,Arbitrary incident,Bora Bora,Male,No shark involvement
393,2015,Unprovoked,Grand Bahama Island,Female,6' shark
394,2015,Unprovoked,North Carolina,Male,Unidentified Species
395,2015,Unprovoked,New South Wales,Male,White shark
396,2015,Unprovoked,New South Wales,Male,White shark
397,2015,Unprovoked,North Carolina,Male,6' to 7' shark
398,2015,Unprovoked,New South Wales,Male,Unidentified Species
399,2015,Unprovoked,South Carolina,Male,4' to 5' shark
400,2015,Unprovoked,North Carolina,Male,Bull shark
401,2015,Unprovoked,Western Cape Province,Male,White shark
402,2015,Arbitrary incident,Florida,Female,Shark involvement not confirmed
403,2015,Unprovoked,Western Cape Province,Male,"White shark, 2m to 3 m"
