,Employed foreigners,Employed nationals,Unemployed foreigners,Unemployed nationals,Year,Country,Active nationals,Active foreigners,Active population,Unemployed population,Employed population,Unemployment rate total,Unemployment rate nationals,Unemployment rate foreigners,Change Active population,Change Active nationals,Change Active foreigners,Change Unemployed population,Change Unemployed nationals,Change Unemployed foreigners,Change Employed population,Change Employed nationals,Change Employed foreigners,Net increase active foreigners as % of last year active population
2011Romania,0.0,16271.2,0.0,1318.1999999999998,2011,Romania,17589.4,0.0,17589.4,1318.1999999999998,16271.2,0.07494286331540585,0.07494286331540585,,-317.49999999999636,-317.49999999999636,0.0,15.899999999999864,15.899999999999864,0.0,-333.3999999999978,-333.3999999999978,0.0,0.0
2011Serbia,16.6,4307.1,0.0,1331.0,2011,Serbia,5638.1,16.6,5654.700000000001,1331.0,4323.700000000001,0.23537941889048045,0.23607243574963196,0.0,-21.69999999999891,-16.299999999999272,-5.399999999999999,202.4000000000001,202.4000000000001,0.0,-224.09999999999945,-218.69999999999982,-5.399999999999999,-0.0009513071665139876
2011Slovakia,6.9,4598.4,0.0,728.8000000000001,2011,Slovakia,5327.2,6.9,5334.099999999999,728.8000000000001,4605.299999999999,0.1366303593858383,0.13680732842769186,0.0,-57.30000000000018,-55.0,-2.299999999999999,-48.999999999999886,-48.999999999999886,0.0,-8.300000000000182,-6.0,-2.299999999999999,-0.0004266053344214859
2011Slovenia,37.5,1792.0,5.1,161.4,2011,Slovenia,1953.4,42.6,1996.0,166.5,1829.5,0.08341683366733467,0.08262516637657417,0.11971830985915492,-37.80000000000018,-48.90000000000009,11.099999999999998,15.799999999999983,15.0,0.7999999999999989,-53.600000000000136,-63.90000000000009,10.299999999999997,0.005457763791916608
2011Spain,4575.8,31966.0,2223.5,7795.6,2011,Spain,39761.6,6799.3,46560.9,10019.1,36541.8,0.21518269621076913,0.19605850871192307,0.3270189578338947,141.0,316.29999999999563,-175.29999999999927,746.6000000000004,615.3000000000011,131.30000000000018,-605.5999999999985,-299.0,-306.59999999999945,-0.003776397622571338
2011Sweden,423.1,8566.6,110.8,662.2,2011,Sweden,9228.800000000001,533.9,9762.7,773.0,8989.7,0.07917891566882113,0.07175364077669903,0.2075294999063495,120.40000000000146,92.40000000000146,28.0,-69.50000000000011,-85.20000000000005,15.700000000000003,189.90000000000146,177.60000000000036,12.300000000000011,0.0029038714829449407
2011Switzerland,1954.3999999999999,6382.2,163.0,230.79999999999998,2011,Switzerland,6613.0,2117.3999999999996,8730.4,393.79999999999995,8336.6,0.04510675341336021,0.03490095266898533,0.07698120336261453,135.5,49.5,85.99999999999977,-28.900000000000034,-12.900000000000006,-16.0,164.40000000000055,62.399999999999636,102.0,0.010005933751410694
2011Turkey,0.0,0.0,0.0,0.0,2011,Turkey,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2011United Kingdom,5132.6,51673.4,539.4,4538.099999999999,2011,United Kingdom,56211.5,5672.0,61883.5,5077.499999999999,56806.0,0.08204933463685796,0.08073259030625404,0.095098730606488,527.6999999999971,-16.900000000001455,544.6000000000004,209.4999999999991,134.09999999999945,75.39999999999998,318.1999999999971,-151.0,469.2000000000007,0.008876096473357048
2012Austria,932.4,7094.3,97.6,319.6,2012,Austria,7413.900000000001,1030.0,8443.900000000001,417.20000000000005,8026.7,0.04940844870261372,0.043108215648983664,0.09475728155339805,92.30000000000109,34.099999999999454,58.19999999999993,30.400000000000034,22.0,8.399999999999991,61.89999999999873,12.099999999999454,49.799999999999955,0.006968724555773735
2012Belgium,801.7,8156.4,166.5,570.2,2012,Belgium,8726.6,968.2,9694.800000000001,736.7,8958.1,0.07598919008128069,0.06534045332661059,0.1719686015286098,61.00000000000182,43.20000000000073,17.799999999999955,43.90000000000009,25.600000000000023,18.30000000000001,17.100000000000364,17.599999999999454,-0.5,0.001847661358965305
2012Bulgaria,3.9,5782.0,0.0,816.4,2012,Bulgaria,6598.4,3.9,6602.299999999999,816.4,5785.9,0.12365387819396272,0.12372696411251213,0.0,1.9999999999990905,1.5999999999994543,0.3999999999999999,67.60000000000002,67.60000000000002,0.0,-65.60000000000036,-66.0,0.3999999999999999,6.0603305910337394e-05
2012Croatia,5.199999999999999,3050.3999999999996,0.0,591.8,2012,Croatia,3642.2,5.199999999999999,3647.3999999999996,591.8,3055.5999999999995,0.16225256346986894,0.16248421283839437,0.0,-32.80000000000018,-33.5,0.6999999999999993,78.5,78.5,0.0,-111.30000000000018,-112.0,0.6999999999999993,0.00019020705396445827
2012Cyprus,174.3,575.8,26.6,76.3,2012,Cyprus,652.0999999999999,200.9,852.9999999999999,102.9,750.0999999999999,0.12063305978898009,0.11700659408066248,0.13240418118466898,12.499999999999886,5.699999999999932,6.800000000000011,35.0,27.5,7.5,-22.500000000000114,-21.800000000000068,-0.6999999999999886,0.008090422367638324
2012Czechia,149.8,9470.8,9.0,720.0,2012,Czechia,10190.8,158.8,10349.599999999999,729.0,9620.599999999999,0.0704375048311046,0.07065196059190643,0.05667506297229219,58.29999999999745,50.599999999998545,7.700000000000017,30.100000000000023,29.800000000000068,0.3000000000000007,28.19999999999891,20.799999999999272,7.400000000000006,0.0007482047943408526
2012Denmark,246.4,4882.700000000001,52.8,393.2,2012,Denmark,5275.900000000001,299.2,5575.1,446.0,5129.1,0.07999856504816057,0.0745275687560416,0.1764705882352941,-46.69999999999891,-78.49999999999909,31.80000000000001,-0.7999999999999545,-6.0,5.200000000000003,-45.899999999999636,-72.49999999999909,26.600000000000023,0.005656551282507385
2012Estonia,175.2,1006.7,39.1,95.8,2012,Estonia,1102.5,214.29999999999998,1316.8,134.9,1181.9,0.1024453219927096,0.08689342403628118,0.18245450303313115,-14.0,-9.200000000000045,-4.799999999999983,-32.89999999999998,-24.299999999999997,-8.599999999999994,18.90000000000009,15.100000000000023,3.8000000000000114,-0.003606853020739392
