,dep,date,month,tx_incid
10238,28,2020-08-15,2020-08,17.930954182919
10269,28,2020-09-15,2020-09,44.2452116201898
10299,28,2020-10-15,2020-10,116.900506491238
10330,28,2020-11-15,2020-11,188.624323222914
10360,28,2020-12-15,2020-12,104.558421144554
10391,28,2021-01-15,2021-01,130.174069977295
10422,28,2021-02-15,2021-02,162.542935320487
10450,28,2021-03-15,2021-03,294.81283111137003
10626,29,2020-08-15,2020-08,14.4503250771603
10657,29,2020-09-15,2020-09,27.576956254122802
10687,29,2020-10-15,2020-10,73.24439581095
10718,29,2020-11-15,2020-11,82.5102531123353
10748,29,2020-12-15,2020-12,33.8645022800627
10779,29,2021-01-15,2021-01,59.2353020338557
10810,29,2021-02-15,2021-02,40.703587431085204
10838,29,2021-03-15,2021-03,76.6639383864613
11014,2A,2020-08-15,2020-08,3.69410359497848
11045,2A,2020-09-15,2020-09,72.65070403457679
11075,2A,2020-10-15,2020-10,182.85812795143502
11106,2A,2020-11-15,2020-11,96.0466934694405
11136,2A,2020-12-15,2020-12,17.2391501098996
11167,2A,2021-01-15,2021-01,76.34480762955529
11198,2A,2021-02-15,2021-02,48.0233467347203
11226,2A,2021-03-15,2021-03,140.375936609182
11402,2B,2020-08-15,2020-08,6.0354003665134
11433,2B,2020-09-15,2020-09,75.71684096171359
11463,2B,2020-10-15,2020-10,186.548738601323
11494,2B,2020-11-15,2020-11,133.32748082388702
11524,2B,2020-12-15,2020-12,29.0796563113828
11555,2B,2021-01-15,2021-01,99.3097696671751
11586,2B,2021-02-15,2021-02,136.61951738744
11614,2B,2021-03-15,2021-03,174.477937868297
11790,30,2020-08-15,2020-08,27.7900992427198
11821,30,2020-09-15,2020-09,79.094897844664
11851,30,2020-10-15,2020-10,253.18383685073997
11882,30,2020-11-15,2020-11,297.140291902927
11912,30,2020-12-15,2020-12,136.679190025492
11943,30,2021-01-15,2021-01,196.40118214806802
11974,30,2021-02-15,2021-02,212.166719218457
12002,30,2021-03-15,2021-03,316.513197625015
12178,31,2020-08-15,2020-08,38.331542862445396
12209,31,2020-09-15,2020-09,193.79914128778302
12239,31,2020-10-15,2020-10,278.956554015711
12270,31,2020-11-15,2020-11,176.524963684968
12300,31,2020-12-15,2020-12,61.0306688033349
12331,31,2021-01-15,2021-01,186.946574966005
12362,31,2021-02-15,2021-02,204.577657064746
12390,31,2021-03-15,2021-03,161.749117553634
12566,32,2020-08-15,2020-08,12.1027152178489
12597,32,2020-09-15,2020-09,91.0334666386024
12627,32,2020-10-15,2020-10,138.39191749105498
12658,32,2020-11-15,2020-11,165.228372974111
12688,32,2020-12-15,2020-12,126.815407282677
