indic_et,sitc06,partner,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
MIO_EXP_VAL,TOTAL,EU28,HU	58836.4 	47717.9 	56469.4 	62457.6 	62398.1 	63003.8 	66611.5 	72239.6 	74950.4 	81842.2 	86258.9 	90198.7 
MIO_EXP_VAL,TOTAL,EU28,IE	53739.5 	50893.8 	51158.6 	53191.5 	54687.6 	50338.4 	50131.7 	58970.2 	59303.1 	62201.0 	69994.2 	72047.7 
MIO_EXP_VAL,TOTAL,EU28,IT	220338.3 	170322.8 	195522.7 	212933.7 	211867.4 	209828.6 	218823.7 	225975.3 	233412.9 	250287.1 	263080.5 	266006.8 
MIO_EXP_VAL,TOTAL,EU28,LT	9702.8 	7591.8 	9553.7 	12371.3 	13925.4 	13612.4 	13358.3 	14048.7 	13721.0 	15409.3 	16627.7 	17409.3 
MIO_EXP_VAL,TOTAL,EU28,LU	15457.0 	13360.9 	11777.2 	12025.0 	11576.0 	11233.5 	11877.2 	12988.8 	11799.1 	11774.0 	11644.4 	12383.4 
MIO_EXP_VAL,TOTAL,EU28,LV	4731.4 	3737.0 	4839.1 	6226.8 	6983.0 	7236.0 	7643.0 	7708.2 	7780.4 	8324.4 	9143.3 	9399.6 
MIO_EXP_VAL,TOTAL,EU28,MT	955.5 	820.6 	1114.3 	1296.0 	1292.6 	1243.4 	1104.1 	1079.1 	1218.6 	1424.9 	1500.3 	1492.6 
MIO_EXP_VAL,TOTAL,EU28,NL	342918.7 	276747.5 	334942.7 	369526.0 	386389.8 	382558.7 	384230.2 	389644.5 	392493.8 	434339.1 	457056.0 	465138.1 
MIO_EXP_VAL,TOTAL,EU28,PL	90538.7 	78199.7 	95579.8 	106014.1 	109962.1 	115755.4 	128290.5 	142449.8 	146806.3 	165861.1 	179857.0 	188037.5 
MIO_EXP_VAL,TOTAL,EU28,PT	28925.2 	23905.4 	28116.7 	31888.1 	32126.0 	33274.9 	34044.8 	36071.1 	37589.6 	40790.9 	44055.2 	45996.3 
MIO_EXP_VAL,TOTAL,EU28,RO	23856.2 	21672.0 	27110.5 	32283.7 	31704.7 	34505.6 	37318.2 	40254.6 	43080.2 	47475.8 	51976.6 	52830.2 
MIO_EXP_VAL,TOTAL,EU28,SE	75020.6 	54833.2 	68382.1 	75357.9 	76397.1 	72777.3 	72447.9 	73826.1 	74449.3 	80002.5 	83644.8 	83038.7 
MIO_EXP_VAL,TOTAL,EU28,SI	17719.8 	14387.2 	17089.0 	19253.6 	18775.5 	19170.2 	20378.9 	21868.5 	22407.8 	25751.4 	28535.1 	29473.3 
MIO_EXP_VAL,TOTAL,EU28,SK	41505.3 	34698.1 	42260.7 	48689.1 	52676.2 	53408.1 	54656.6 	57812.4 	59411.6 	62992.8 	67644.6 	67951.3 
MIO_EXP_VAL,TOTAL,EU28,UK	178528.4 	140321.2 	165678.5 	182672.9 	185030.7 	177221.7 	182057.9 	184255.5 	175563.5 	186246.3 	193926.1 	193753.9 
MIO_IMP_VAL,TOTAL,EU28,AT	98568.4 	80438.1 	93505.8 	106366.7 	106273.6 	105723.0 	105245.9 	108009.0 	111196.1 	120254.0 	127259.9 	128813.1 
MIO_IMP_VAL,TOTAL,EU28,BE	221638.3 	178966.5 	203958.8 	227011.5 	230944.4 	225908.0 	221797.7 	212584.2 	218631.5 	233688.9 	248643.1 	244337.2 
MIO_IMP_VAL,TOTAL,EU28,BG	14292.1 	10154.6 	11292.1 	13926.3 	14960.3 	15423.2 	16112.2 	16953.3 	17378.7 	19331.1 	20404.8 	21036.4 
MIO_IMP_VAL,TOTAL,EU28,CY	4923.9 	4074.4 	4554.1 	4316.0 	3929.3 	3350.3 	3877.8 	4026.9 	4684.4 	4948.8 	5276.9 	5449.9 
MIO_IMP_VAL,TOTAL,EU28,CZ	74336.5 	58855.9 	71627.6 	81585.6 	82993.6 	83457.2 	89939.2 	98509.6 	101831.4 	112759.6 	119731.6 	121390.5 
MIO_IMP_VAL,TOTAL,EU28,DE	513521.8 	429510.5 	503601.2 	572521.0 	571224.3 	575080.4 	594814.3 	621621.7 	632344.5 	682237.9 	722546.0 	735718.7 
MIO_IMP_VAL,TOTAL,EU28,DK	53287.9 	41691.5 	43784.8 	48441.7 	50231.9 	51502.2 	52106.8 	53620.5 	55105.3 	57332.3 	60813.6 	61425.4 
MIO_IMP_VAL,TOTAL,EU28,EE	8696.9 	5844.1 	7396.0 	9585.0 	10953.9 	11408.9 	11259.2 	10690.2 	11048.9 	11971.6 	12424.1 	12569.0 
MIO_IMP_VAL,TOTAL,EU28,EL	36689.7 	30338.8 	27449.0 	25179.1 	22813.2 	22198.5 	23308.6 	23089.9 	24156.1 	26186.5 	28402.2 	29610.0 
MIO_IMP_VAL,TOTAL,EU28,ES	169645.5 	131101.4 	145622.3 	154021.0 	142377.0 	141695.5 	154838.1 	170836.8 	173879.3 	186039.9 	194268.9 	193637.6 
MIO_IMP_VAL,TOTAL,EU28,EU28	2665329.7 	2148133.0 	2486923.3 	2756362.5 	2771074.6 	2771778.1 	2858132.0 	2995554.3 	3045710.2 	3283793.0 	3456293.7 	3500858.6 
MIO_IMP_VAL,TOTAL,EU28,FI	38725.1 	28407.8 	33318.0 	37247.3 	37393.0 	38704.2 	39356.3 	39757.3 	40170.3 	44787.0 	46715.9 	46919.3 
MIO_IMP_VAL,TOTAL,EU28,FR	332414.4 	280860.2 	315589.7 	348570.2 	352005.8 	348512.4 	347757.2 	355616.2 	358791.2 	381419.7 	392437.9 	397470.4 
MIO_IMP_VAL,TOTAL,EU28,HR	13349.5 	9543.7 	9109.6 	10065.3 	10134.1 	11089.9 	13071.5 	14427.9 	15225.2 	17084.7 	18557.2 	19962.6 
