indic_et,sitc06,partner,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
MIO_BAL_VAL,TOTAL,EXT_EU28,RO	-7436.6 	-3018.4 	-2534.7 	-1924.2 	-1089.4 	1650.7 	754.1 	-18.5 	-1100.3 	-3154.7 	-5511.6 	-6009.0 
MIO_BAL_VAL,TOTAL,EXT_EU28,SE	14318.3 	11413.2 	14219.5 	18503.4 	15910.5 	15712.8 	13326.8 	14981.7 	14581.5 	16471.2 	13619.9 	18198.4 
MIO_BAL_VAL,TOTAL,EXT_EU28,SI	-710.6 	-400.2 	-1304.2 	-1442.1 	-717.1 	-1080.2 	-1199.0 	-1151.5 	-695.7 	-1518.4 	-2837.8 	-3838.0 
MIO_BAL_VAL,TOTAL,EXT_EU28,SK	-6618.9 	-4460.6 	-6297.9 	-6757.0 	-5778.6 	-4871.7 	-4279.1 	-4085.2 	-3232.6 	-3675.7 	-4454.9 	-3323.4 
MIO_BAL_VAL,TOTAL,EXT_EU28,UK	-75030.0 	-73799.3 	-78867.0 	-71454.1 	-100895.8 	-9932.4 	-46041.8 	-31453.5 	-90191.9 	-69711.9 	-51088.4 	-86576.9 
MIO_EXP_VAL,TOTAL,EXT_EU28,AT	32668.8 	26687.6 	31929.4 	36518.6 	38834.3 	39451.6 	40398.2 	41237.4 	40336.7 	42852.8 	44755.7 	46709.8 
MIO_EXP_VAL,TOTAL,EXT_EU28,BE	73961.4 	64707.2 	82933.6 	95676.2 	104037.5 	105383.3 	104691.3 	101257.5 	100609.6 	105685.3 	107201.0 	109421.9 
MIO_EXP_VAL,TOTAL,EXT_EU28,BG	5959.1 	4035.2 	6010.2 	7576.0 	8533.1 	8921.2 	8278.9 	8024.7 	8090.9 	10116.2 	9219.7 	9927.1 
MIO_EXP_VAL,TOTAL,EXT_EU28,CY	339.5 	297.1 	356.3 	417.1 	532.3 	639.5 	1136.3 	1651.8 	1377.5 	1792.8 	3001.3 	1635.6 
MIO_EXP_VAL,TOTAL,EXT_EU28,CZ	14592.7 	12023.4 	15706.9 	19464.6 	22849.9 	23066.3 	23422.1 	23803.8 	24048.4 	25976.6 	26769.1 	28577.4 
MIO_EXP_VAL,TOTAL,EXT_EU28,DE	357670.6 	300044.0 	376680.4 	428902.4 	470952.0 	469441.0 	476440.1 	503014.2 	499720.2 	531972.8 	541985.0 	552759.0 
MIO_EXP_VAL,TOTAL,EXT_EU28,DK	23888.3 	21769.8 	24954.0 	27813.6 	30188.0 	30336.5 	30447.7 	33269.0 	33028.8 	34716.8 	36012.8 	40805.7 
MIO_EXP_VAL,TOTAL,EXT_EU28,EE	2532.0 	1975.6 	2744.8 	4045.3 	4253.8 	3569.3 	3352.5 	2875.7 	3099.4 	3629.0 	4610.8 	4234.1 
MIO_EXP_VAL,TOTAL,EXT_EU28,EL	8338.5 	7793.8 	9523.8 	11626.0 	15254.2 	14373.6 	13982.4 	11728.3 	11112.2 	13360.0 	15779.6 	14865.0 
MIO_EXP_VAL,TOTAL,EXT_EU28,ES	57953.3 	48998.1 	59915.5 	73294.4 	83478.7 	88797.6 	88493.1 	88955.7 	86998.6 	95512.9 	98501.9 	100088.8 
MIO_EXP_VAL,TOTAL,EXT_EU28,EU28	1309129.6 	1094359.5 	1353954.3 	1554418.5 	1685060.9 	1736509.1 	1704016.5 	1790396.2 	1745289.1 	1878570.0 	1958202.8 	2038744.9 
MIO_EXP_VAL,TOTAL,EXT_EU28,FI	28851.7 	19958.9 	23901.9 	25117.6 	26338.9 	25068.7 	23892.5 	22159.7 	21646.4 	24384.8 	26352.1 	27011.8 
MIO_EXP_VAL,TOTAL,EXT_EU28,FR	150941.1 	130305.0 	154153.0 	167091.8 	181734.3 	177614.7 	174514.8 	187828.8 	183782.6 	195186.4 	201914.6 	213120.7 
MIO_EXP_VAL,TOTAL,EXT_EU28,HR	3742.7 	2967.6 	3466.0 	3846.4 	4026.4 	3632.1 	3813.3 	3976.0 	4306.6 	5110.4 	4749.2 	4954.0 
MIO_EXP_VAL,TOTAL,EXT_EU28,HU	14935.7 	11794.7 	15554.9 	18226.1 	18213.6 	17941.3 	16654.6 	16606.6 	17122.8 	18910.2 	19313.9 	20218.3 
MIO_EXP_VAL,TOTAL,EXT_EU28,IE	31737.4 	32220.6 	37501.6 	38363.0 	37792.7 	37595.4 	41085.5 	52288.9 	58927.2 	59558.7 	69643.0 	79697.4 
MIO_EXP_VAL,TOTAL,EXT_EU28,IT	148677.3 	121410.3 	141884.6 	162970.1 	178314.7 	180404.0 	180046.7 	186316.0 	183856.0 	198841.9 	202244.9 	209841.5 
MIO_EXP_VAL,TOTAL,EXT_EU28,LT	6374.3 	4205.0 	6097.0 	7779.6 	9121.9 	10932.2 	11003.0 	8855.2 	8886.0 	11001.2 	11643.3 	12189.6 
MIO_EXP_VAL,TOTAL,EXT_EU28,LU	2012.6 	1937.9 	2403.1 	2965.2 	3082.7 	2634.7 	2523.8 	2471.6 	2460.6 	2198.9 	2180.5 	2340.4 
MIO_EXP_VAL,TOTAL,EXT_EU28,LV	2165.7 	1784.9 	2351.4 	3205.9 	4000.5 	3656.9 	3452.0 	3371.7 	3331.3 	4145.0 	4560.0 	4556.0 
MIO_EXP_VAL,TOTAL,EXT_EU28,MT	1411.5 	1228.1 	1590.6 	1854.6 	2015.5 	1509.2 	1101.4 	1275.8 	1660.6 	1098.9 	1204.2 	1193.9 
MIO_EXP_VAL,TOTAL,EXT_EU28,NL	90803.0 	80214.8 	98230.4 	109713.4 	123708.2 	123092.8 	122108.7 	124664.6 	123440.8 	142747.9 	158544.7 	168650.9 
MIO_EXP_VAL,TOTAL,EXT_EU28,PL	25356.0 	19665.8 	24902.8 	29543.7 	34320.3 	38588.3 	37424.4 	37082.8 	37365.0 	41524.3 	43356.2 	47825.0 
MIO_EXP_VAL,TOTAL,EXT_EU28,PT	9922.1 	7791.3 	9151.2 	10939.9 	13087.0 	14028.0 	14008.9 	13562.9 	12449.2 	14227.1 	13794.8 	13899.1 
MIO_EXP_VAL,TOTAL,EXT_EU28,RO	9822.8 	7412.5 	10287.9 	13000.3 	13314.8 	15065.1 	15182.3 	14365.7 	14312.1 	15139.8 	15447.9 	15838.6 
MIO_EXP_VAL,TOTAL,EXT_EU28,SE	49624.0 	38929.9 	51214.6 	58954.8 	57744.4 	53380.1 	51472.7 	52432.1 	51451.8 	55354.4 	56907.0 	60381.8 
